trial,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
13,1.508763074,3.56937842,1.596568883,2.726561843,0.9765625,3229.180985,44.75521735,586.3219697,615.7240225,522.5360073,550.4134752,4.787334795,TRUE,12,OK,297.1
14,1.64126834,3.533703578,0.800837392,3.029494468,1.220703125,3241.729318,48.02581075,430.0143196,456.3399329,365.5977766,390.266334,7.33818881,TRUE,11,OK,321.3
15,3.088137358,3.039592365,1.709343654,1.817258976,0.732421875,3250.251273,42.19282845,468.2322872,493.4884574,423.4442991,447.4914095,-3.200958891,TRUE,11,OK,817.6
16,1.390706919,3.615006706,1.678045263,2.679892699,0.927734375,3208.996659,47.97433369,527.2156121,555.5060372,475.3028742,502.3209111,3.743928655,TRUE,11,OK,238.5
17,1.815314627,3.683432357,1.018902277,2.664356776,1.07421875,3223.911744,62.65541871,481.1835038,508.9094835,412.2224499,438.2118071,6.195853144,TRUE,12,OK,222.1
18,2.885728436,3.154233338,1.563726053,2.068367539,0.78125,3247.592478,47.00935135,499.0307794,525.2779815,445.8295677,470.5863994,-0.372859418,TRUE,15,OK,300.3
19,1.331037383,4.005574777,1.860735898,1.929085823,0.9765625,3267.365109,26.8704173,551.8062678,581.2668592,498.4276724,526.6012488,0.315951539,TRUE,11,OK,381.2
20,2.009843495,3.995696581,1.380724456,1.757423662,0.87890625,3207.132297,45.78810627,471.9460929,499.950868,437.3846624,464.3468268,1.313547983,TRUE,13,OK,288
21,1.301453731,3.379888482,2.353640674,2.518520918,0.78125,3199.661158,72.31434047,432.1338669,456.7112077,376.8368198,399.982003,-1.342228618,TRUE,11,OK,280.3
22,1.485077864,2.613520513,3.250558675,2.323342972,0.78125,3272.130594,33.66196137,494.8413313,519.9774397,435.3871874,459.0821076,0.36286944,TRUE,12,OK,192.4
23,1.171451129,3.951124093,1.706836606,2.258988591,0.927734375,3190.3091,63.69348272,452.5522426,480.0020507,403.2764507,429.4146061,1.174533975,TRUE,10,OK,193.2
24,0.843716234,3.349182235,2.766469197,2.327610246,0.830078125,3213.345475,120.9765323,276.6720086,296.9115184,229.9699577,248.7075657,-4.284526924,TRUE,14,OK,243.6
25,1.913461027,3.746727954,1.625494289,2.158347713,0.87890625,3221.835886,58.13845118,563.3751423,592.6020617,504.1956274,531.7955621,2.458243971,TRUE,15,OK,281.7
26,1.779679608,3.786583787,1.603330106,2.218976405,0.927734375,3233.895659,58.91672546,588.1303292,618.006423,516.9932172,544.9635101,2.921592885,TRUE,15,OK,240.1
27,2.602350514,2.788472458,1.772130356,2.704024251,0.78125,3269.825161,48.58417105,578.8498696,605.9721039,499.0263942,524.1236465,1.457066507,TRUE,12,OK,292.4
28,1.769578951,3.703446188,1.584281376,2.375527139,0.927734375,3217.385035,72.10477266,587.0561667,616.741369,511.4211549,539.1362643,3.73024428,TRUE,12,OK,228.9
29,2.401357835,2.455196471,2.699144827,2.433127214,0.68359375,3252.365652,64.67503181,559.7345408,584.9066819,474.3613425,496.6372276,-3.59532011,TRUE,12,OK,414.7
30,1.69261918,3.329660521,2.091576858,2.583351965,0.830078125,3250.320658,39.68554787,581.6352131,609.5869988,517.7162426,544.0736661,1.753236136,TRUE,12,OK,198.6
31,1.735947959,3.289177673,2.179294671,2.533469886,0.78125,3200.337564,67.84632147,549.9039273,576.9965051,487.2687995,512.6930443,0.87099058,TRUE,12,OK,256.9
32,2.042214958,3.813949398,1.527071899,1.987762428,0.87890625,3247.16234,37.67958584,536.8232987,565.6914288,490.3089193,517.874372,2.053959464,TRUE,15,OK,274.3
33,1.718200522,2.972947544,2.444767329,2.689327533,0.732421875,3228.696766,51.10383679,518.0344893,543.2158346,457.7870113,481.3800227,-1.018450607,TRUE,12,OK,237.7
34,2.124973555,3.452766533,1.939057006,2.191563047,0.78125,3224.18628,60.17909402,562.9385401,590.9653032,505.5422804,531.9373967,0.856958491,TRUE,12,OK,312.1
35,2.501177111,3.216414501,2.061092237,2.037324129,0.68359375,3179.729573,101.1670013,492.0168349,517.7984017,442.007702,466.4485813,-1.056252249,TRUE,12,OK,364.9
36,1.8887983,2.319768113,3.150403934,2.475090289,0.732421875,3242.814807,45.14006489,547.7679161,573.6417021,485.7505255,509.8950865,-0.001547043,TRUE,12,OK,244
37,1.597992732,4.198091322,1.450974121,1.648369673,0.9765625,3252.964298,26.09366005,517.538139,547.1231802,483.5666531,512.1845993,0.918455129,TRUE,13,OK,328.3
38,2.710085464,3.567501759,1.796990246,1.30353137,0.78125,3266.906432,45.41048959,409.0164374,434.1627475,358.7609547,382.5798103,-0.376660025,TRUE,11,OK,224.3
39,2.272465656,3.814370725,1.579987132,1.670364177,0.830078125,3268.021565,30.20736686,487.8824475,515.5394074,446.9407778,473.491083,0.41196057,TRUE,12,OK,349
40,1.101602758,2.818159458,2.202917351,3.315358771,0.78125,3194.923646,95.04431657,352.3016258,374.3780723,299.5442524,320.1482623,-0.232916469,TRUE,12,OK,210.3
41,2.128726492,3.443319931,1.880672996,2.25280724,0.78125,3205.5257,77.71263204,556.3144068,584.2966882,494.7522179,520.9787183,1.334051306,TRUE,12,OK,231.3
42,2.174706213,3.088823836,2.119735175,2.497307147,0.732421875,3200.364437,117.6395996,563.9713434,590.8837474,476.8483686,501.0883582,0.627216624,TRUE,14,OK,263.3
43,1.538307675,4.304027083,1.248766086,1.596729041,1.025390625,3255.06711,22.5187091,483.875423,513.030547,454.4554144,482.7176738,1.272865478,TRUE,14,OK,333.3
44,1.854836512,3.473036751,2.03096861,2.31792229,0.830078125,3218.023799,121.9120643,599.0959169,627.7604652,493.4986181,519.2243356,1.061953842,TRUE,16,OK,339
45,1.671323014,3.846040768,1.890358383,1.959896675,0.927734375,3267.29089,39.74637969,609.9186249,639.9930085,546.0485116,574.4943023,0.872499046,TRUE,13,OK,397.6
46,3.69006373,2.997432465,1.084116242,1.1061285,0.830078125,3172.653668,70.92589435,289.4311231,311.7052235,261.8693088,283.202995,-4.358378961,TRUE,12,OK,310
47,4.477878391,1.339351187,1.490358812,0.966216395,0.927734375,3257.213919,38.57699701,310.2921894,335.4888495,274.9941114,298.9780176,-4.380936513,TRUE,12,OK,315.3
48,1.081962737,4.326941076,1.776227128,1.397123744,1.07421875,3213.189592,40.41179326,470.182848,499.0067344,427.745099,455.4445418,0.050614612,TRUE,10,OK,243.8
