trial,N_RUNS,L_RUN_mm,z_first_mm,side_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
33,14,20.208968802036907,0.7618345172728175,0.9621774367307044,,,,,,,,,,,FAIL_Z_OVERLAP,0.0
34,4,86.51100414505954,2.1052529383706546,0.8737781167779489,35.9375,3273.055519908451,5.356349798003579,2350.0184500707455,2454.957266137428,2447.045143354716,2557.892470383435,-3.1477117744951544,True,11,PRUNE_LIFETIME,419.5
35,14,59.97266922910138,2.491909790311506,0.5674757939468978,92.736328125,3273.0452751583503,4.197937032184165,2432.6707994717613,2540.852392618126,2470.952004205885,2584.3971874490503,28.48719795411356,True,10,PRUNE_LIFETIME,1072.5
36,16,150.18083701100187,0.9105946883992692,0.3372486467481939,100.0,1968.3661888229847,0.0,732.5938978023503,850.5997940046722,nan,nan,nan,False,1,PRUNE_LIFETIME,45.6
37,6,122.41824158455321,1.5879415160858172,0.6060107374050262,90.822265625,3272.589218520728,3.6688473991322423,3499.243889795219,3652.114813009789,3570.4024639747486,3728.538307576181,-2.3920205151054974,True,11,PRUNE_LIFETIME,543.0
38,12,188.68048424179656,2.165148149233893,0.34736519231189006,100.0,2021.101114992567,0.0,857.1808451077463,986.064836654574,nan,nan,nan,False,1,PRUNE_LIFETIME,40.9
39,10,224.24686646325907,1.969449851545783,0.3490312474236603,100.0,2022.8365824916266,0.0,799.643436756639,919.4799781655879,nan,nan,nan,False,1,PRUNE_LIFETIME,36.5
40,14,161.58849572172846,1.0809252971825873,0.3475121861630569,100.0,2021.2617053407464,0.0,827.4705486169819,951.8132881783891,nan,nan,nan,False,1,PRUNE_LIFETIME,40.9
41,14,105.06899882945628,0.9062933966620303,0.430249832778601,100.0,2483.2409339438873,200.0,1809.2746576956308,1969.4283066971411,1684.32034765172,1833.421335841812,-12.965266279193832,False,20,OK,436.4
42,14,96.43900765632658,0.858348994359846,0.44889887690466346,100.0,2587.263707510844,90.0,1987.5957514066536,2146.062847636658,1922.2709591921498,2075.550163732539,-6.8162210099227405,True,9,OK,219.6
43,14,64.43645969909548,1.7520885191229478,0.5477785822674396,100.0,3180.4263846503745,8.999355582439831,2279.3420626147454,2387.39849220504,3026.769472465677,3173.3686098952044,8.333167993157275,True,11,PRUNE_LIFETIME,879.5
44,16,38.540708780999864,0.8318584151719003,0.660213349124696,62.554288042836816,3273.1436218639733,4.584259420262798,2596.662721130874,2713.5297013374047,2480.76898053565,2595.4436117891837,16.92087539789604,True,11,PRUNE_LIFETIME,1923.4
45,14,90.818562148909,1.2337755834854396,0.4624339399261815,100.0,2669.126633726179,30.0,1984.7447829643654,2131.030756891636,1990.4030732469228,2137.12634615422,0.27307086507016853,True,3,PRUNE_LIFETIME,99.1
46,8,108.4974349361592,1.0482713721675845,0.5582769825174269,100.0,3148.0730832912795,13.079366681593035,3704.309795466478,3882.8581857090285,3400.2798148130096,3566.5640083474646,-6.095094434998427,True,11,PRUNE_LIFETIME,496.5
47,6,135.3175936865148,2.96928068791834,0.5769175724229445,100.0,3248.3147051097917,5.2003834899854775,3272.3641387469625,3418.1296466226613,3376.9502999142405,3530.323595759338,2.5803403377298584,True,11,PRUNE_LIFETIME,351.8
48,14,115.16608360559448,0.7187425041523823,0.4111263107098584,100.0,2374.342699424363,200.0,1444.6032483612144,1587.9548306457548,1368.9813094469262,1504.828452574597,-6.85401805601078,False,20,OK,549.2
49,10,128.23649870766127,1.6366526075812926,0.4604848181852554,100.0,2635.0466090954537,60.0,1663.6658761352278,1790.0477381659368,1733.7219427819355,1865.4577406536469,8.91722676353438,True,6,OK,133.2
50,10,96.16985349543893,2.3647692963653935,0.5307880496187228,100.0,3033.992150751005,44.661060675510086,2878.1920467080226,3031.2738744648436,2707.921807891052,2854.854535813576,3.705290637808978,True,11,OK,565.8
51,10,93.01507558412962,2.6632419182446574,0.5395830395945979,100.0,3091.164786914355,24.54302613637321,2915.473855677275,3063.54248358324,2929.4094383506767,3081.5161683725682,1.3628331836667784,True,11,PRUNE_LIFETIME,586.5
52,10,131.5369550339799,2.4096928975645904,0.45473260974890883,100.0,2611.614155245279,70.0,1468.6063786982252,1582.8889807250291,1469.7662460195343,1584.1564609285515,20.52037004208791,True,7,OK,150.9
